rating,product_id,date,name,feedback
,,,,
1,8342,Александр,2017-04-12,"6 входов, предохранитель искрит при включении любого устройства в любой сетевой вход Данный сетевой фильтр начал искрить после недели эксплуатации. Защитить компьютер от перепада напряжения, я думаю, он вряд ли сможет."
,,,,
5,8342,Елена,2015-08-04,"Я являюсь пользователем Пилотов уже больше 10 лет без каких-либо нареканий. Но вот пришло время их поменять и меня постигла та же участь, что и тех, кто оставил плохие отзывы. Фильтр, купленный в феврале 2015г. перестал работать ни с того ни сего уже через 3 месяца. В магазине обменяли на новый, который установил рекорд - 1,5 месяца и умер. Но тут я решила больше не искушать судьбу, начитавшись отзывов, и обратилась напрямую к производителю. Как оказалось, это какой-то производственный брак, который они не смогли сразу выявить. Компания предложила его обменять, что я и сделала. Надеюсь, он отработает положенный срок службы. Все-таки Пилоты остаются лучшими в своем ценовом сегменте."
,,,,
5,5311,Леонид,2017-07-16,"хорошо мелет маркий, остаются следы Использую 1 месяц. Пока  проблем нет."
,,,,
4,5311,Сергей,2017-06-28,"Компактная,""Не нашел Работает на ура. В инструкции четко написано, что после трех 25-ти секундных помолов давать ей отдыхать с пол часика, при такой эксплуатации будет служит долго. Ведь как известно кофе в зернах лучше молоть перед варкой. У родителей такая уже служит больше 5 лет. Свою брал в марте 17-го полет нормальный."""
,,,,
5,5311,Ольга,2017-01-21,"Цена и качество,Нет,""В использовании 2 месяца перемалывает быстро и качественно пока нареканий нет..."""
,,,,
4.3,5311,yubobr,2016-12-30,"Все было хорошо, пока она работала.,Недолговечность,""Отработала исправно пять лет. А потом перестала включаться."""
,,,,
5,5311,Ольга,2015-10-30,хорошая. почти два года. корпус внушающий доверия. ничего лишнего. мощность достаточная. перемолола более 3 кг кофе. за раз перерабатываю по пол кг минимум. со своей функцией справляется на отлично! полет нормальный)
,,,,
5,5311,Ирина,2011-03-21,"Отличная кофемолка во всех отношениях: качество, дизайн. Удобна в использовании. Приобрела вместе с кофеваркой Bosch. Очень довольна."
,,,,
4.7,5312,Алексей,2017-07-19,"простота, надежность, низкая цена,нет,""При отсутствии """"наворотов"""" делает свою работу хорошо, я доволен кофемолкой. Отдельное спасибо on-line сервису магазине, пользуюсь им давно, включая заказ, оплату и доставку, пока все на высшем уровне, так держать!"""
,,,,
5,5312,Галина,2016-08-29,"Плюсы: компактная, удобна в обращении, не коксует кофе под ножом  Минусы: разве что чуть шумновата  Общие впечатления- работает около 6 лет. Ежедневно по 2-3 раза с месячным помолом около килограмма зерна. На сегодня, с учётом отпусков и прочих отсутствий по моим подсчетам намолото около 70 кг) читайте инструкцию, обращайтесь аккуратно и да будет вам кофейное счастье."
,,,,
2,5312,Влад,2011-08-09,Тоже сломалась - похоже сгорел мотор.
,,,,
5,8342,Денис,2013-11-09,"Не дешевый, но отличный сетевой фильтр, пользуюсь уже 3 года. Всем советую."
,,,,
4,8342,Николай Боткин,2013-09-08,"дороговат немного, мало розеток, защита достаточно хорошая, но есть аналоги и дешевле, имеющие больше розеток и более эргономичный дизайн."
,,,,
5,5311,Владимир,2016-05-13,"Пользуюсь больше 10 лет! Отличный помол! Качественные ножи. Просто надо пользоваться по инструкции. Отличный подарок! Молол всё, что мелится, без нареканий, надо только приноровится."
,,,,
1,8342,Антон,2015-07-28,"Выбирал по форума и отзывам этот фильтр как самыйСгорел, проработав 1 месяц. Ни с того ни с сего. При этом вырубило автомат в щитке. Крайне не советую!"
,,,,
5,5312,Ксения,2017-01-11,"Мелет все, что попадается на пути=)"
,,,,
5,5312,Руслан,2016-12-21,Простая и надежная. Ничего лишнего. Смотрится хорошо.
,,,,
4.7,5312,Геннадий,2017-02-11,"цена,"
,,,,
4,8980,Игорь,2009-10-16,"Наушники используются с плеером iRiver LPlayer.  Муз. форматы прослушиваемых композиций в основном FLAC, ALAC, APE, WAV.   Основной жанр прослушиваемых композиций: Metallcore, Punk-Rock, Emocore, Indie, Alternative.    Данная модель отлично ""сглаживают"" слабости плеера, придавая звучанию насыщенность и ""жизненность""    ПЛЮСЫ данных наушников:    1. Несуженное, достаточно пространственное звучание с хорошим эффектом стерео. Можно не пользоваться эффектами расширения (например, WIDE в Cowon Jet Audio),компенсирующими недостатки наушников.  2. Неплохой басс неперекрывающий основную мелодию композиции.  3. Отсутствие неприятного монофонического звукового давления.  4. Выделяющийся стильный классический дизайн.  5. Удобный складывающийся оголовник.    МИНУСЫ:    1. Слабая звукоизоляция. Насладиться прелестью любимой композиции в автобусе(о трамвае и речи не идёт), в людном и шумном месте не удастся.  2. Провод у входа в корпус динамика не зафиксирован. Это, видимо, предотвращает его от переламывания, однако, при движении провода (например, при ходьбе) создается небольшое потрескивание мембраны динамика от трения. Проблема не существенная и легко разрешимая.  3. Оголовье удобное, но порой зацепляет волосы на голове.    Наряду с данной моделью прослушивал Sennheiser PX-200 и совершенно не понял, что в данной модели заслуживает внимания и за что платить больше 2 тысяч рублей. Кроме, того сравнивал с Sennheiser HD 212 Pro, HD 205, HD 202 (данная модель дома лежит), Sennheiser PX-100 и некоторыми другими наушниками (Philips'ами, Panasonic'ами и т.д.). Вывод сделал, что данная модель стоит своих денег и купил."
,,,,
